68 86
20 99
92 3
82 73
85 35
92 1
21 52
27 67
0 46
82 13
19 78
80 91
38 3
41 81
74 21
87 63
20 33
20 83
0 31
71 17
90 25
28 16
53 8
34 32
5 11
96 44
27 27
87 58
7 53
77 14
4 30
9 10
70 21
3 11
58 7
69 7
0 11
63 46
18 8
72 69
55 83
61 13
29 23
56 29
88 25
98 26
14 30
45 95
71 50
28 21
38 74
60 76
86 17
44 8
23 24
87 29
41 78
36 53
27 52
19 32
61 13
22 58
80 78
63 77
3 30
44 49
51 16
51 42
93 51
8 66
78 22
70 27
47 58
49 5
33 51
30 91
64 51
97 56
87 99
75 30
9 8
52 10
36 80
11 77
23 8
20 3
89 64
54 70
26 14
50 80
34 98
66 45
84 78
21 96
70 23
58 37
58 62
89 93
87 47
76 39
